epoch,SemSeg_mIoU,Human_Parts_mIoU,Saliency_mIoU,Normals_mean,Delta_m_percent
0,66.48,54.28,61.04,19.73,-6.333
5,68.72,55.56,62.93,18.44,-2.431
10,69.14,56.20,63.67,18.15,-1.316
15,69.09,57.06,63.92,18.11,-0.832
20,69.74,57.52,63.85,17.70,0.138
25,69.56,57.62,64.17,17.62,0.351
30,69.83,58.09,64.40,17.46,0.956
35,69.80,58.55,64.96,17.59,1.174
40,69.98,58.72,65.05,17.34,1.694
45,70.53,58.62,65.23,17.41,1.833
50,70.18,59.48,65.69,17.23,2.484
55,70.00,59.77,65.25,16.99,2.692
60,70.30,59.83,65.41,16.81,3.142
65,70.47,60.34,65.68,16.84,3.478
70,70.40,60.54,65.61,16.71,3.686
75,70.67,60.43,65.58,16.63,3.841
80,70.73,60.59,65.42,16.56,3.961
85,70.58,60.69,65.94,16.44,4.321
90,70.59,60.48,65.71,16.64,3.869
95,70.44,60.82,65.44,16.47,4.079
100,70.61,60.71,65.41,16.40,4.183
105,70.89,60.75,65.33,16.50,4.132
110,70.86,60.79,65.41,16.20,4.587
115,70.52,61.14,65.90,16.42,4.492
120,70.82,60.86,65.45,16.36,4.394
125,70.57,60.84,65.52,16.30,4.404
130,70.57,60.95,65.70,16.32,4.493
135,70.82,61.19,65.85,16.33,4.729
140,70.71,61.29,65.85,16.35,4.701
145,70.66,61.39,65.91,16.32,4.788
150,70.68,61.41,65.80,16.22,4.899
155,70.74,61.25,65.66,16.12,4.939
160,70.73,61.23,65.69,16.19,4.842
165,70.74,61.36,65.79,16.04,5.147
170,70.54,61.33,65.78,16.24,4.779
175,70.74,61.49,65.93,16.40,4.755
180,70.77,61.39,65.67,16.13,4.997
185,70.84,61.29,65.75,16.12,5.029
190,70.82,61.48,65.54,16.17,4.944
195,70.72,61.41,65.80,16.22,4.914
200,70.56,61.46,65.96,16.15,5.036
205,70.73,61.54,65.48,16.08,5.036
210,70.61,61.43,65.75,16.13,4.986
215,70.66,61.45,65.61,16.00,5.137
220,70.58,61.47,65.61,16.23,4.796
225,70.67,61.42,65.81,15.98,5.237
230,70.53,61.54,65.70,15.98,5.189
235,70.61,61.52,65.65,16.01,5.149
240,70.54,61.61,65.61,15.93,5.255
245,70.59,61.55,65.73,16.03,5.158
250,70.52,61.60,65.63,16.03,5.112
255,70.60,61.54,65.64,16.01,5.149
260,70.59,61.60,65.82,16.00,5.256
265,70.66,61.61,65.77,16.01,5.252
270,70.63,61.55,65.63,16.00,5.175
275,70.66,61.54,65.80,15.99,5.264
280,70.66,61.57,65.66,16.01,5.192
285,70.67,61.56,65.69,16.02,5.190
290,70.65,61.59,65.61,15.94,5.274
295,70.66,61.58,65.67,15.98,5.242
299,70.66,61.61,65.73,16.00,5.250

BEST(epoch 290),70.65,61.59,65.61,15.94,5.274
